,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bins,Total_spaces_new
788,Ivanhoe,4,h,Jellis,2016-04-06,7.9,3079.0,0,2,2,1252.0,Eastern Metropolitan,5549,2400000,Nearby,4
789,Ivanhoe,3,t,Nelson,2016-04-06,7.9,3079.0,3,2,2,249.0,Eastern Metropolitan,5549,890000,Nearby,7
790,Kealba,4,h,Brad,2016-04-06,15.0,3021.0,3,1,1,537.0,Western Metropolitan,1202,431000,Mederately close,5
791,Keilor East,4,h,Nelson,2016-04-06,12.8,3033.0,3,1,1,537.0,Western Metropolitan,5629,1100000,Nearby,5
792,Keilor East,4,h,Brad,2016-04-06,12.8,3033.0,3,1,1,622.0,Western Metropolitan,5629,845000,Nearby,5
793,Keilor East,3,h,Nelson,2016-04-06,12.8,3033.0,3,1,1,657.0,Western Metropolitan,5629,725000,Nearby,5
794,Kensington,2,u,Pagan,2016-04-06,4.2,3031.0,2,1,1,50.0,Northern Metropolitan,5263,492500,Nearby,4
795,Kensington,2,u,Alexkarbon,2016-04-06,4.2,3031.0,2,1,1,50.0,Northern Metropolitan,5263,420000,Nearby,4
796,Kensington,2,t,Nelson,2016-04-06,4.2,3031.0,2,1,1,79.0,Northern Metropolitan,5263,650000,Nearby,4
797,Kensington,3,t,Rendina,2016-04-06,4.2,3031.0,2,1,1,145.0,Northern Metropolitan,5263,620000,Nearby,4
798,Kensington,3,h,Edward,2016-04-06,4.2,3031.0,3,1,1,274.0,Northern Metropolitan,5263,1050000,Nearby,5
799,Kew,2,u,Jellis,2016-04-06,5.6,3101.0,2,1,1,50.0,Southern Metropolitan,10331,588000,Nearby,4
800,Kew,4,h,Jellis,2016-04-06,5.6,3101.0,3,1,1,593.0,Southern Metropolitan,10331,1380000,Nearby,5
801,Kew,3,t,Jellis,2016-04-06,5.6,3101.0,3,2,1,267.0,Southern Metropolitan,10331,1185000,Nearby,6
802,Kew,3,u,Marshall,2016-04-06,5.6,3101.0,3,2,2,50.0,Southern Metropolitan,10331,882000,Nearby,7
803,Kew East,5,h,hockingstuart,2016-04-06,7.5,3102.0,5,2,3,711.0,Southern Metropolitan,2671,1950000,Nearby,10
804,Maidstone,2,u,Jas,2016-04-06,9.2,3012.0,2,1,1,152.0,Western Metropolitan,3873,485000,Nearby,4
805,Maidstone,3,h,Jas,2016-04-06,9.2,3012.0,3,1,2,306.0,Western Metropolitan,3873,490000,Nearby,6
806,Malvern,4,h,Jellis,2016-04-06,7.4,3144.0,3,1,1,593.0,Southern Metropolitan,4675,2325000,Nearby,5
807,Malvern,3,h,Jellis,2016-04-06,7.4,3144.0,2,2,1,231.0,Southern Metropolitan,4675,2050000,Nearby,5
808,Malvern,4,h,Jellis,2016-04-06,7.4,3144.0,4,2,2,599.0,Southern Metropolitan,4675,2300000,Nearby,8
809,Malvern,4,h,Jellis,2016-04-06,7.4,3144.0,4,2,2,502.0,Southern Metropolitan,4675,3460000,Nearby,8
810,Malvern East,4,h,Marshall,2016-04-06,11.2,3145.0,3,2,2,797.0,Southern Metropolitan,8801,1185000,Nearby,7
811,Malvern East,4,h,Marshall,2016-04-06,11.2,3145.0,3,1,1,593.0,Southern Metropolitan,8801,1550000,Nearby,5
812,Maribyrnong,4,h,Biggin,2016-04-06,8.7,3032.0,3,1,1,537.0,Western Metropolitan,4918,1650000,Nearby,5
813,Maribyrnong,2,t,Biggin,2016-04-06,8.7,3032.0,2,1,1,50.0,Western Metropolitan,4918,355000,Nearby,4
814,Melbourne,2,u,Galldon,2016-04-06,2.8,3000.0,2,2,1,50.0,Northern Metropolitan,17496,780000,Nearby,5
815,Melbourne,2,u,Greg,2016-04-06,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,595000,Nearby,3
816,Melbourne,1,u,Buxton,2016-04-06,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,370000,Nearby,3
817,Melbourne,2,u,Rodney,2016-04-06,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,2138000,Nearby,3
818,Melbourne,3,u,Marshall,2016-04-06,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,2030000,Nearby,3
819,Middle Park,2,u,hockingstuart,2016-04-06,4.1,3206.0,2,1,1,760.0,Southern Metropolitan,2019,535000,Nearby,4
820,Mont Albert,4,h,Jellis,2016-04-06,11.8,3127.0,3,1,1,693.5,Eastern Metropolitan,2079,1666000,Nearby,5
821,Moorabbin,2,h,Buxton,2016-04-06,14.6,3189.0,2,1,3,649.0,Southern Metropolitan,2555,950000,Nearby,6
822,Moorabbin,3,h,hockingstuart,2016-04-06,14.6,3189.0,3,1,1,593.0,Southern Metropolitan,2555,750000,Nearby,5
823,Moorabbin,4,h,Buxton,2016-04-06,14.6,3189.0,4,2,1,318.0,Southern Metropolitan,2555,1140000,Nearby,7
824,Newport,3,u,RT,2016-04-06,8.4,3015.0,2,1,1,80.0,Western Metropolitan,5498,760000,Nearby,4
825,Newport,4,h,Greg,2016-04-06,8.4,3015.0,4,1,2,329.0,Western Metropolitan,5498,710000,Nearby,7
826,Newport,3,h,Williams,2016-04-06,8.4,3015.0,3,2,2,296.0,Western Metropolitan,5498,920000,Nearby,7
827,Newport,4,h,Williams,2016-04-06,8.4,3015.0,3,2,1,379.0,Western Metropolitan,5498,940000,Nearby,6
828,Niddrie,2,u,Brad,2016-04-06,11.2,3042.0,2,1,1,50.0,Western Metropolitan,2291,457000,Nearby,4
829,Niddrie,2,u,Barry,2016-04-06,11.2,3042.0,2,2,1,217.0,Western Metropolitan,2291,660000,Nearby,5
830,Niddrie,3,t,Biggin,2016-04-06,11.2,3042.0,2,1,1,200.0,Western Metropolitan,2291,661000,Nearby,4
831,North Melbourne,2,u,Woodards,2016-04-06,2.3,3051.0,2,1,1,50.0,Northern Metropolitan,6821,528500,Nearby,4
832,North Melbourne,2,u,Edward,2016-04-06,2.3,3051.0,2,1,1,50.0,Northern Metropolitan,6821,585000,Nearby,4
833,Northcote,3,h,Collins,2016-04-06,5.5,3070.0,3,1,1,247.0,Northern Metropolitan,11364,1710000,Nearby,5
834,Northcote,4,h,Jellis,2016-04-06,5.5,3070.0,4,1,1,484.0,Northern Metropolitan,11364,1590000,Nearby,6
835,Northcote,3,h,Nelson,2016-04-06,5.5,3070.0,3,1,1,482.0,Northern Metropolitan,11364,905000,Nearby,5
836,Northcote,6,h,Nelson,2016-04-06,5.5,3070.0,6,2,2,772.0,Northern Metropolitan,11364,2000000,Nearby,10
837,Northcote,2,u,Nelson,2016-04-06,5.5,3070.0,1,1,1,50.0,Northern Metropolitan,11364,466000,Nearby,3
838,Oak Park,4,h,hockingstuart,2016-04-06,11.5,3046.0,3,1,1,482.0,Northern Metropolitan,2651,670000,Nearby,5
839,Parkville,5,h,Nelson,2016-04-06,2.6,3052.0,3,1,1,482.0,Northern Metropolitan,2309,1300000,Nearby,5
840,Pascoe Vale,3,h,Brad,2016-04-06,9.9,3044.0,3,1,2,568.0,Northern Metropolitan,7485,731000,Nearby,6
841,Port Melbourne,2,h,Marshall,2016-04-06,3.8,3207.0,2,2,0,96.0,Southern Metropolitan,8648,1000000,Nearby,4
842,Port Melbourne,3,h,Marshall,2016-04-06,3.8,3207.0,3,1,0,153.0,Southern Metropolitan,8648,1470000,Nearby,4
843,Port Melbourne,2,u,Cayzer,2016-04-06,3.8,3207.0,2,2,2,50.0,Southern Metropolitan,8648,725000,Nearby,6
844,Port Melbourne,2,h,hockingstuart,2016-04-06,3.8,3207.0,3,1,0,183.0,Southern Metropolitan,8648,1234500,Nearby,4
845,Port Melbourne,2,u,Greg,2016-04-06,3.8,3207.0,2,1,1,50.0,Southern Metropolitan,8648,600000,Nearby,4
846,Port Melbourne,3,h,Chisholm,2016-04-06,3.8,3207.0,3,2,2,173.0,Southern Metropolitan,8648,1342000,Nearby,7
847,Port Melbourne,1,u,Greg,2016-04-06,3.8,3207.0,1,1,1,50.0,Southern Metropolitan,8648,500000,Nearby,3
848,Prahran,3,u,hockingstuart,2016-04-06,4.5,3181.0,3,2,2,50.0,Southern Metropolitan,7717,1400000,Nearby,7
849,Prahran,3,u,hockingstuart,2016-04-06,4.5,3181.0,2,2,1,50.0,Southern Metropolitan,7717,685000,Nearby,5
850,Prahran,2,u,Biggin,2016-04-06,4.5,3181.0,1,1,1,50.0,Southern Metropolitan,7717,630000,Nearby,3
851,Prahran,3,u,Edward,2016-04-06,4.5,3181.0,2,1,1,50.0,Southern Metropolitan,7717,710000,Nearby,4
852,Preston,3,t,Nelson,2016-04-06,8.8,3072.0,2,1,1,145.0,Northern Metropolitan,14577,717000,Nearby,4
853,Preston,3,h,Ray,2016-04-06,8.8,3072.0,3,1,2,563.0,Northern Metropolitan,14577,950000,Nearby,6
854,Reservoir,3,t,Nelson,2016-04-06,11.2,3073.0,2,1,1,145.0,Northern Metropolitan,21650,770000,Nearby,4
855,Reservoir,2,t,Nelson,2016-04-06,11.2,3073.0,2,1,1,145.0,Northern Metropolitan,21650,400000,Nearby,4
856,Reservoir,3,h,Barry,2016-04-06,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,750000,Nearby,5
857,Reservoir,2,h,Ray,2016-04-06,11.2,3073.0,2,1,1,234.0,Northern Metropolitan,21650,535000,Nearby,4
858,Reservoir,2,t,Ray,2016-04-06,11.2,3073.0,2,1,1,145.0,Northern Metropolitan,21650,575000,Nearby,4
859,Reservoir,3,h,Nelson,2016-04-06,11.2,3073.0,3,2,2,623.0,Northern Metropolitan,21650,920000,Nearby,7
860,Richmond,3,h,Jellis,2016-04-06,2.6,3121.0,3,1,1,199.0,Northern Metropolitan,14949,1010000,Nearby,5
861,Richmond,2,h,Jellis,2016-04-06,2.6,3121.0,2,1,1,169.0,Northern Metropolitan,14949,1025000,Nearby,4
862,Richmond,2,u,Biggin,2016-04-06,2.6,3121.0,1,1,1,50.0,Northern Metropolitan,14949,555000,Nearby,3
863,Richmond,2,h,Biggin,2016-04-06,2.6,3121.0,2,1,1,167.0,Northern Metropolitan,14949,1102000,Nearby,4
864,Rosanna,3,h,Nelson,2016-04-06,11.4,3084.0,3,1,1,693.5,Eastern Metropolitan,3540,765000,Nearby,5
865,Rosanna,2,h,Miles,2016-04-06,11.4,3084.0,3,1,1,608.0,Eastern Metropolitan,3540,971000,Nearby,5
866,Rosanna,3,h,Miles,2016-04-06,11.4,3084.0,3,1,1,693.5,Eastern Metropolitan,3540,830000,Nearby,5
867,Seddon,3,h,Jas,2016-04-06,6.6,3011.0,3,3,2,227.0,Western Metropolitan,2417,1325000,Nearby,8
868,South Melbourne,3,h,Greg,2016-04-06,2.1,3205.0,3,1,1,181.0,Southern Metropolitan,5943,1405000,Nearby,5
869,South Melbourne,2,u,Greg,2016-04-06,2.1,3205.0,2,2,1,50.0,Southern Metropolitan,5943,575000,Nearby,5
870,South Melbourne,1,u,Marshall,2016-04-06,2.1,3205.0,2,0,0,438.0,Southern Metropolitan,5943,760500,Nearby,2
871,South Yarra,1,u,RT,2016-04-06,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,450000,Nearby,3
872,South Yarra,3,u,Marshall,2016-04-06,3.3,3141.0,3,2,2,50.0,Southern Metropolitan,14887,750000,Nearby,7
873,South Yarra,2,u,RT,2016-04-06,3.3,3141.0,2,1,1,50.0,Southern Metropolitan,14887,650000,Nearby,4
874,South Yarra,1,u,hockingstuart,2016-04-06,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,420000,Nearby,3
875,South Yarra,2,u,hockingstuart,2016-04-06,3.3,3141.0,2,1,1,50.0,Southern Metropolitan,14887,775000,Nearby,4
876,South Yarra,2,u,hockingstuart,2016-04-06,3.3,3141.0,2,1,1,50.0,Southern Metropolitan,14887,572000,Nearby,4
877,South Yarra,1,u,Beller,2016-04-06,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,510000,Nearby,3
878,South Yarra,3,t,hockingstuart,2016-04-06,3.3,3141.0,2,2,1,181.0,Southern Metropolitan,14887,1460000,Nearby,5
879,Southbank,3,u,Greg,2016-04-06,1.2,3006.0,3,2,1,50.0,Southern Metropolitan,8400,868000,Nearby,6
880,Southbank,2,u,Marshall,2016-04-06,1.2,3006.0,2,1,1,50.0,Southern Metropolitan,8400,590000,Nearby,4
881,Southbank,2,u,Greg,2016-04-06,1.2,3006.0,2,1,1,50.0,Southern Metropolitan,8400,530000,Nearby,4
882,St Kilda,1,u,Whiting,2016-04-06,6.1,3182.0,1,1,1,2879.0,Southern Metropolitan,13240,380000,Nearby,3
883,St Kilda,2,u,Marshall,2016-04-06,6.1,3182.0,2,1,1,50.0,Southern Metropolitan,13240,465000,Nearby,4
884,St Kilda,3,u,Pride,2016-04-06,6.1,3182.0,2,2,2,50.0,Southern Metropolitan,13240,616000,Nearby,6
885,Sunshine,2,h,Douglas,2016-04-06,12.6,3020.0,3,1,1,537.0,Western Metropolitan,3755,483000,Nearby,5
886,Sunshine North,3,h,Douglas,2016-04-06,13.3,3020.0,3,1,1,565.0,Western Metropolitan,4217,555000,Nearby,5
887,Sunshine North,3,h,Douglas,2016-04-06,13.3,3020.0,3,1,2,541.0,Western Metropolitan,4217,490000,Nearby,6
888,Sunshine North,3,h,Douglas,2016-04-06,13.3,3020.0,3,1,1,537.0,Western Metropolitan,4217,505000,Nearby,5
889,Sunshine North,3,h,Sweeney,2016-04-06,13.3,3020.0,3,1,1,609.0,Western Metropolitan,4217,620500,Nearby,5
890,Sunshine West,3,t,Douglas,2016-04-06,13.5,3020.0,3,3,1,344.0,Western Metropolitan,6763,450000,Nearby,7
891,Surrey Hills,3,h,hockingstuart,2016-04-06,11.2,3127.0,3,2,2,1255.0,Southern Metropolitan,5457,2100000,Nearby,7
892,Surrey Hills,3,h,Fletchers,2016-04-06,11.2,3127.0,3,1,1,763.0,Southern Metropolitan,5457,1700000,Nearby,5
893,Templestowe Lower,3,h,Barry,2016-04-06,13.8,3107.0,3,2,2,643.0,Eastern Metropolitan,5420,1101000,Nearby,7
894,Templestowe Lower,3,u,Jellis,2016-04-06,13.8,3107.0,3,1,2,349.0,Eastern Metropolitan,5420,641000,Nearby,6
895,Templestowe Lower,3,t,Jellis,2016-04-06,13.8,3107.0,3,1,1,236.0,Eastern Metropolitan,5420,736500,Nearby,5
896,Templestowe Lower,8,h,Barry,2016-04-06,13.8,3107.0,6,4,3,668.0,Eastern Metropolitan,5420,1150000,Nearby,13
897,Templestowe Lower,4,h,Jellis,2016-04-06,13.8,3107.0,3,1,1,693.5,Eastern Metropolitan,5420,1000000,Nearby,5
898,Toorak,3,u,hockingstuart,2016-04-06,4.6,3142.0,1,1,1,50.0,Southern Metropolitan,7217,1101000,Nearby,3
899,Toorak,1,u,Dixon,2016-04-06,4.6,3142.0,2,1,1,50.0,Southern Metropolitan,7217,430000,Nearby,4
900,Toorak,2,u,Kay,2016-04-06,4.6,3142.0,2,1,1,50.0,Southern Metropolitan,7217,701500,Nearby,4
901,Viewbank,3,h,Barry,2016-04-06,13.8,3084.0,3,2,2,577.0,Eastern Metropolitan,2698,770000,Nearby,7
902,Viewbank,4,h,Miles,2016-04-06,13.8,3084.0,4,1,1,865.0,Eastern Metropolitan,2698,730000,Nearby,6
903,Watsonia,3,h,Barry,2016-04-06,14.9,3087.0,3,1,1,605.0,Northern Metropolitan,2329,600000,Nearby,5
904,West Melbourne,3,h,Alexkarbon,2016-04-06,1.9,3003.0,2,3,2,506.0,Northern Metropolitan,2230,1260000,Nearby,7
905,West Melbourne,1,u,Nelson,2016-04-06,1.9,3003.0,1,1,1,50.0,Northern Metropolitan,2230,460000,Nearby,3
906,West Melbourne,3,h,Alexkarbon,2016-04-06,1.9,3003.0,3,3,2,265.0,Northern Metropolitan,2230,2370000,Nearby,8
907,Williamstown,3,h,RT,2016-04-06,8.0,3016.0,3,2,2,315.0,Western Metropolitan,6380,1200000,Nearby,7
908,Williamstown,4,h,Sweeney,2016-04-06,8.0,3016.0,3,1,1,537.0,Western Metropolitan,6380,2000000,Nearby,5
909,Williamstown,4,h,RT,2016-04-06,8.0,3016.0,4,2,2,897.0,Western Metropolitan,6380,3130000,Nearby,8
910,Yarraville,3,h,Village,2016-04-06,7.0,3013.0,3,3,2,197.0,Western Metropolitan,6543,910000,Nearby,8
911,Yarraville,2,h,Jas,2016-04-06,7.0,3013.0,2,1,1,188.0,Western Metropolitan,6543,796000,Nearby,4
912,Yarraville,2,h,Greg,2016-04-06,7.0,3013.0,2,1,1,261.0,Western Metropolitan,6543,856000,Nearby,4
913,Yarraville,3,h,Village,2016-04-06,7.0,3013.0,3,1,1,477.0,Western Metropolitan,6543,670000,Nearby,5
914,Yarraville,4,h,Jas,2016-04-06,7.0,3013.0,2,1,0,165.0,Western Metropolitan,6543,706000,Nearby,3
915,Yarraville,3,h,hockingstuart,2016-04-06,7.0,3013.0,2,2,1,462.0,Western Metropolitan,6543,1050000,Nearby,5
916,Brunswick East,4,h,Woodards,2016-04-06,4.5,3057.0,4,2,2,470.0,Northern Metropolitan,5533,1550000,Nearby,8
917,Carlton,3,u,Woodards,2016-04-06,1.8,3053.0,2,2,1,50.0,Northern Metropolitan,6786,860000,Nearby,5
918,East Melbourne,3,h,Jellis,2016-04-06,1.5,3002.0,2,2,3,364.0,Northern Metropolitan,3040,3520000,Nearby,7
919,Essendon West,4,h,Nelson,2016-04-06,9.8,3040.0,4,2,2,505.0,Western Metropolitan,588,1422000,Nearby,8
920,Fawkner,2,h,Re,2016-04-06,12.4,3060.0,2,1,1,215.0,Northern Metropolitan,5070,378000,Nearby,4
921,Hawthorn East,3,t,Kay,2016-04-06,7.5,3123.0,3,2,1,267.0,Southern Metropolitan,6482,1500000,Nearby,6
922,Hawthorn East,3,u,Kay,2016-04-06,7.5,3123.0,1,1,1,50.0,Southern Metropolitan,6482,875000,Nearby,3
923,Heidelberg,3,u,Miles,2016-04-06,10.6,3084.0,2,1,1,208.0,Eastern Metropolitan,2890,985000,Nearby,4
924,Kingsbury,3,h,Harcourts,2016-04-06,12.4,3083.0,3,1,1,482.0,Northern Metropolitan,1414,568500,Nearby,5
925,Kingsville,3,h,Jas,2016-04-06,7.8,3012.0,2,2,2,269.0,Western Metropolitan,1808,1155000,Nearby,6
926,Murrumbeena,3,t,hockingstuart,2016-04-06,12.1,3163.0,3,2,2,302.0,Southern Metropolitan,4442,1160000,Nearby,7
927,Murrumbeena,3,t,hockingstuart,2016-04-06,12.1,3163.0,1,2,2,242.0,Southern Metropolitan,4442,1100000,Nearby,5
928,Murrumbeena,3,h,Woodards,2016-04-06,12.1,3163.0,2,1,1,274.0,Southern Metropolitan,4442,820000,Nearby,4
929,Murrumbeena,2,t,hockingstuart,2016-04-06,12.1,3163.0,2,1,1,129.0,Southern Metropolitan,4442,690000,Nearby,4
930,Murrumbeena,4,h,Woodards,2016-04-06,12.1,3163.0,3,1,1,593.0,Southern Metropolitan,4442,1580000,Nearby,5
931,Ormond,2,u,Woodards,2016-04-06,11.8,3204.0,1,1,1,50.0,Southern Metropolitan,3578,600000,Nearby,3
932,Ormond,4,h,Buxton,2016-04-06,11.8,3204.0,3,1,1,805.0,Southern Metropolitan,3578,1920000,Nearby,5
933,West Footscray,4,h,Sweeney,2016-04-06,8.2,3012.0,4,2,2,497.0,Western Metropolitan,5058,850000,Nearby,8
934,Albion,3,h,Sweeney,2016-04-06,13.9,3020.0,3,2,2,605.0,Western Metropolitan,2185,593000,Nearby,7
935,Glen Huntly,2,u,Woodards,2016-04-06,10.4,3163.0,2,2,1,50.0,Southern Metropolitan,2403,695000,Nearby,5
936,Glen Huntly,2,u,Woodards,2016-04-06,10.4,3163.0,1,1,1,50.0,Southern Metropolitan,2403,390000,Nearby,3
937,Oakleigh,2,h,Ray,2016-04-06,14.0,3166.0,2,1,1,50.0,Southern Metropolitan,3224,305000,Nearby,4
938,Oakleigh,3,h,Ray,2016-04-06,14.0,3166.0,3,1,1,593.0,Southern Metropolitan,3224,845000,Nearby,5
939,Cremorne,2,h,hockingstuart,2016-04-06,2.5,3121.0,2,1,2,176.0,Northern Metropolitan,1123,1000000,Nearby,5
940,Cremorne,2,h,Jellis,2016-04-06,2.5,3121.0,2,1,1,115.0,Northern Metropolitan,1123,725000,Nearby,4
941,Docklands,3,u,Barry,2016-04-06,1.9,3008.0,1,1,1,50.0,Southern Metropolitan,4707,1220000,Nearby,3
942,South Kingsville,4,h,Sweeney,2016-04-06,9.1,3015.0,5,1,3,669.0,Western Metropolitan,984,930000,Nearby,9
943,Strathmore Heights,3,h,Nelson,2016-04-06,12.5,3041.0,3,1,1,537.0,Western Metropolitan,389,530000,Nearby,5
944,Airport West,5,h,Airport,2016-06-08,13.5,3042.0,3,1,1,537.0,Western Metropolitan,3464,1035000,Nearby,5
945,Airport West,4,h,Barry,2016-06-08,13.5,3042.0,3,1,1,537.0,Western Metropolitan,3464,960000,Nearby,5
946,Airport West,4,h,Nelson,2016-06-08,13.5,3042.0,3,1,1,537.0,Western Metropolitan,3464,960000,Nearby,5
947,Airport West,3,h,Barry,2016-06-08,13.5,3042.0,2,1,1,620.0,Western Metropolitan,3464,720000,Nearby,4
948,Airport West,4,h,Considine,2016-06-08,13.5,3042.0,3,1,2,597.0,Western Metropolitan,3464,785000,Nearby,6
949,Albert Park,2,h,Marshall,2016-06-08,3.3,3206.0,1,1,0,147.0,Southern Metropolitan,3280,1110000,Nearby,2
950,Altona,3,u,Barlow,2016-06-08,13.8,3018.0,2,1,2,311.0,Western Metropolitan,5301,630000,Nearby,5
951,Altona,2,u,hockingstuart,2016-06-08,13.8,3018.0,2,1,1,65.0,Western Metropolitan,5301,406000,Nearby,4
952,Altona North,3,h,Greg,2016-06-08,11.1,3025.0,3,2,1,50.0,Western Metropolitan,5132,720000,Nearby,6
953,Armadale,2,h,Jellis,2016-06-08,6.3,3143.0,3,1,1,593.0,Southern Metropolitan,4836,1930000,Nearby,5
954,Ascot Vale,2,h,Nelson,2016-06-08,5.9,3032.0,2,1,1,269.0,Western Metropolitan,6567,1053000,Nearby,4
955,Ascot Vale,3,h,Nelson,2016-06-08,5.9,3032.0,3,1,1,417.0,Western Metropolitan,6567,1377000,Nearby,5
956,Ashwood,4,h,Fletchers,2016-06-08,12.2,3147.0,2,2,2,621.0,Southern Metropolitan,2894,1500000,Nearby,6
957,Avondale Heights,3,h,Nelson,2016-06-08,10.5,3034.0,3,1,1,537.0,Western Metropolitan,4502,655000,Nearby,5
958,Avondale Heights,3,h,Nelson,2016-06-08,10.5,3034.0,3,1,2,570.0,Western Metropolitan,4502,680000,Nearby,6
959,Balwyn,2,h,Fletchers,2016-06-08,9.7,3103.0,3,1,1,1015.0,Southern Metropolitan,5682,1850000,Nearby,5
960,Balwyn,2,u,Noel,2016-06-08,9.7,3103.0,3,1,1,209.0,Southern Metropolitan,5682,805000,Nearby,5
961,Balwyn North,5,h,Jellis,2016-06-08,9.2,3104.0,3,4,2,886.0,Southern Metropolitan,7809,3250000,Nearby,9
962,Balwyn North,4,h,Ray,2016-06-08,9.2,3104.0,4,3,3,667.0,Southern Metropolitan,7809,1750000,Nearby,10
963,Balwyn North,3,t,Christopher,2016-06-08,9.2,3104.0,3,2,1,207.0,Southern Metropolitan,7809,1150000,Nearby,6
964,Balwyn North,3,h,Noel,2016-06-08,9.2,3104.0,3,2,2,645.0,Southern Metropolitan,7809,1575000,Nearby,7
965,Bentleigh,2,u,Buxton,2016-06-08,13.0,3204.0,2,1,1,50.0,Southern Metropolitan,6795,360000,Nearby,4
966,Bentleigh,4,t,hockingstuart,2016-06-08,13.0,3204.0,3,3,2,291.0,Southern Metropolitan,6795,1435000,Nearby,8
967,Bentleigh,3,h,Buxton,2016-06-08,13.0,3204.0,3,1,2,692.0,Southern Metropolitan,6795,1110000,Nearby,6
968,Bentleigh,4,h,Buxton,2016-06-08,13.0,3204.0,3,2,2,795.0,Southern Metropolitan,6795,2435000,Nearby,7
969,Bentleigh,4,h,Buxton,2016-06-08,13.0,3204.0,3,1,1,593.0,Southern Metropolitan,6795,2000000,Nearby,5
970,Bentleigh East,3,h,hockingstuart,2016-06-08,13.9,3165.0,3,2,2,598.0,Southern Metropolitan,10969,1040000,Nearby,7
971,Bentleigh East,4,t,hockingstuart,2016-06-08,13.9,3165.0,3,3,2,291.0,Southern Metropolitan,10969,1210000,Nearby,8
972,Bentleigh East,4,t,Buxton,2016-06-08,13.9,3165.0,3,2,1,267.0,Southern Metropolitan,10969,1370000,Nearby,6
973,Bentleigh East,4,t,hockingstuart,2016-06-08,13.9,3165.0,3,2,2,321.0,Southern Metropolitan,10969,1160000,Nearby,7
974,Brighton,4,h,Kay,2016-06-08,11.2,3186.0,4,2,3,615.0,Southern Metropolitan,10579,1761000,Nearby,9
975,Brighton,3,h,Buxton,2016-06-08,11.2,3186.0,3,2,3,588.0,Southern Metropolitan,10579,2600000,Nearby,8
976,Brighton,3,h,Nick,2016-06-08,11.2,3186.0,3,2,2,50.0,Southern Metropolitan,10579,1302500,Nearby,7
977,Brighton,3,h,Marshall,2016-06-08,11.2,3186.0,3,0,0,50.0,Southern Metropolitan,10579,1900000,Nearby,3
978,Brighton East,3,h,Marshall,2016-06-08,10.7,3187.0,3,2,2,686.0,Southern Metropolitan,6938,1860000,Nearby,7
979,Brighton East,3,h,Nick,2016-06-08,10.7,3187.0,3,2,2,315.0,Southern Metropolitan,6938,1500000,Nearby,7
980,Brighton East,3,t,hockingstuart,2016-06-08,10.7,3187.0,3,2,2,158.0,Southern Metropolitan,6938,870000,Nearby,7
981,Brunswick,2,u,Jellis,2016-06-08,5.2,3056.0,2,1,1,50.0,Northern Metropolitan,11918,400000,Nearby,4
982,Brunswick,3,h,Jellis,2016-06-08,5.2,3056.0,3,1,0,170.0,Northern Metropolitan,11918,950000,Nearby,4
983,Brunswick West,1,u,Jellis,2016-06-08,5.9,3055.0,1,1,1,50.0,Northern Metropolitan,7082,300000,Nearby,3
984,Bulleen,3,h,Jellis,2016-06-08,11.8,3105.0,3,1,2,631.0,Eastern Metropolitan,4480,1127000,Nearby,6
985,Bulleen,3,h,Barry,2016-06-08,11.8,3105.0,3,2,1,585.0,Eastern Metropolitan,4480,990000,Nearby,6
986,Bulleen,4,h,Ray,2016-06-08,11.8,3105.0,5,2,2,617.0,Eastern Metropolitan,4480,1401000,Nearby,9
987,Camberwell,3,t,Fletchers,2016-06-08,7.8,3124.0,3,2,2,342.0,Southern Metropolitan,8920,1300000,Nearby,7
988,Canterbury,3,h,Kay,2016-06-08,9.0,3126.0,3,1,1,593.0,Southern Metropolitan,3265,4110000,Nearby,5
989,Carlton North,3,h,Nelson,2016-06-08,3.2,3054.0,3,1,0,203.0,Northern Metropolitan,3106,1280000,Nearby,4
990,Carnegie,2,u,Gary,2016-06-08,11.4,3163.0,2,1,1,50.0,Southern Metropolitan,7822,360000,Nearby,4
991,Carnegie,2,h,hockingstuart,2016-06-08,11.4,3163.0,3,1,2,299.0,Southern Metropolitan,7822,967500,Nearby,6
992,Carnegie,2,h,Gary,2016-06-08,11.4,3163.0,1,2,2,265.0,Southern Metropolitan,7822,1350000,Nearby,5
993,Carnegie,2,u,hockingstuart,2016-06-08,11.4,3163.0,2,1,1,50.0,Southern Metropolitan,7822,516000,Nearby,4
994,Carnegie,1,u,hockingstuart,2016-06-08,11.4,3163.0,1,1,1,50.0,Southern Metropolitan,7822,330000,Nearby,3
995,Chadstone,3,h,Buxton,2016-06-08,13.6,3148.0,3,1,1,593.0,Southern Metropolitan,3582,1101000,Nearby,5
996,Chadstone,3,h,Buxton,2016-06-08,13.6,3148.0,3,1,2,606.0,Southern Metropolitan,3582,1000000,Nearby,6
